dust_value,accel_x,accel_y,accel_z,road_label,dust_label
0.0,10300,4752,-11216,Smooth Road,Normal Air Quality
0.4546,10724,4288,-11292,Smooth Road,Normal Air Quality
0.0,10632,4584,-11320,Smooth Road,Normal Air Quality
0.0,10588,4684,-11532,Smooth Road,Normal Air Quality
0.461,10632,4336,-11384,Smooth Road,Normal Air Quality
0.0,10444,4828,-11504,Smooth Road,Normal Air Quality
0.437,10520,4424,-11596,Smooth Road,Normal Air Quality
0.0,10740,4356,-11480,Smooth Road,Normal Air Quality
0.1804,10680,5008,-11444,Smooth Road,Normal Air Quality
0.418,10356,4732,-11568,Smooth Road,Normal Air Quality
0.0,10500,4224,-11868,Smooth Road,Normal Air Quality
0.461,10900,4704,-11512,Smooth Road,Normal Air Quality
0.0,10092,4952,-11304,Smooth Road,Normal Air Quality
0.4128,10288,3988,-11436,Smooth Road,Normal Air Quality
0.0693,11040,4284,-11512,Smooth Road,Normal Air Quality
0.0,10428,5052,-11636,Smooth Road,Normal Air Quality
0.461,10580,4044,-11304,Smooth Road,Normal Air Quality
0.0,10812,4940,-11396,Smooth Road,Normal Air Quality
0.461,10032,4548,-11792,Smooth Road,Normal Air Quality
0.0,10988,4296,-11704,Smooth Road,Normal Air Quality
0.1433,10676,4912,-11408,Smooth Road,Normal Air Quality
0.4298,10176,4888,-11420,Smooth Road,Normal Air Quality
0.0,11080,4328,-11236,Smooth Road,Normal Air Quality
0.461,10412,5132,-10984,Smooth Road,Normal Air Quality
0.0,10376,5204,-11272,Smooth Road,Normal Air Quality
0.4237,13504,4780,-9772,Smooth Road,Normal Air Quality
0.0117,12640,4500,-9056,Smooth Road,Normal Air Quality
0.0,9612,7368,-9664,Smooth Road,Normal Air Quality
0.461,9896,8780,-9864,Smooth Road,Normal Air Quality
0.0,9824,8612,-9608,Smooth Road,Normal Air Quality
0.4488,10132,7072,-10380,Smooth Road,Normal Air Quality
0.0,11120,5484,-11048,Smooth Road,Normal Air Quality
0.2574,10848,6172,-10636,Smooth Road,Normal Air Quality
0.3383,10220,6584,-10580,Smooth Road,Normal Air Quality
0.0,10540,6164,-10556,Smooth Road,Normal Air Quality
0.461,10716,6048,-10408,Smooth Road,Normal Air Quality
0.0,9920,8812,-8744,Smooth Road,Normal Air Quality
0.4209,11948,8468,-6992,Smooth Road,Normal Air Quality
0.0,11812,8116,-7980,Smooth Road,Normal Air Quality
0.0,11632,7972,-7880,Smooth Road,Normal Air Quality
0.461,11476,8148,-7916,Smooth Road,Normal Air Quality
0.0,11488,7840,-7952,Smooth Road,Normal Air Quality
0.461,11880,8320,-8092,Smooth Road,Normal Air Quality
0.0,11720,7568,-8124,Smooth Road,Normal Air Quality
0.4265,12072,8108,-7468,Smooth Road,Normal Air Quality
0.0536,11880,7104,-7988,Smooth Road,Normal Air Quality
0.0,11884,7524,-8744,Smooth Road,Normal Air Quality
0.461,10316,9688,-7268,Smooth Road,Normal Air Quality
0.0,10120,9636,-7452,Smooth Road,Normal Air Quality
0.461,11288,6016,-10060,Smooth Road,Normal Air Quality
0.0,12756,5048,-9060,Smooth Road,Normal Air Quality
0.3889,11848,7988,-7860,Smooth Road,Normal Air Quality
0.1588,9720,10232,-7308,Smooth Road,Normal Air Quality
0.0,9156,11192,-7016,Smooth Road,Normal Air Quality
0.461,7788,12776,-6184,Smooth Road,Normal Air Quality
0.0,10232,7640,-9652,Smooth Road,Normal Air Quality
0.3765,12108,5704,-10036,Smooth Road,Normal Air Quality
0.0,6848,11708,-8184,Smooth Road,Normal Air Quality
0.3348,3980,14464,-5376,Smooth Road,Normal Air Quality
0.2817,4624,14408,-4556,Smooth Road,Normal Air Quality
0.0,10112,13660,-3148,Smooth Road,Normal Air Quality
0.461,10056,11760,-856,Smooth Road,Normal Air Quality
0.0,11784,11860,1188,Smooth Road,Normal Air Quality
0.4428,11780,5924,-6628,Smooth Road,Normal Air Quality
0.0,13504,4312,-7192,Smooth Road,Normal Air Quality
0.2495,14032,176,-8036,Smooth Road,Normal Air Quality
0.365,13504,7116,-7008,Smooth Road,Normal Air Quality
0.0,10676,10124,-5272,Smooth Road,Normal Air Quality
0.461,10868,11676,-3500,Smooth Road,Normal Air Quality
0.0,13300,10004,-3796,Smooth Road,Normal Air Quality
0.461,13936,9360,-3180,Smooth Road,Normal Air Quality
0.0,14016,9608,-2236,Smooth Road,Normal Air Quality
0.2551,14240,6832,-5464,Smooth Road,Normal Air Quality
0.2169,14348,4756,-6084,Pothole Detected,Normal Air Quality
0.0,11000,7760,-7388,Smooth Road,Normal Air Quality
0.461,10720,8936,-7968,Smooth Road,Normal Air Quality
0.0,10816,11860,-5376,Smooth Road,Normal Air Quality
0.4474,9012,10840,-7496,Smooth Road,Normal Air Quality
0.0,8028,12756,-7244,Smooth Road,Normal Air Quality
0.2837,3952,14780,-5320,Smooth Road,Normal Air Quality
0.1656,3748,15500,-1312,Smooth Road,Normal Air Quality
0.0,4948,16440,-2016,Smooth Road,Normal Air Quality
0.461,7452,11060,-10596,Smooth Road,Normal Air Quality
0.0,3280,10816,-8560,Smooth Road,Normal Air Quality
0.461,7068,9612,-10684,Smooth Road,Normal Air Quality
0.0,7672,8944,-9112,Smooth Road,Normal Air Quality
0.3969,2956,11468,-9844,Smooth Road,Normal Air Quality
0.0337,656,14448,-7672,Smooth Road,Normal Air Quality
0.0,6524,8416,-12244,Smooth Road,Normal Air Quality
0.461,-84,6176,-15308,Smooth Road,Normal Air Quality
0.0,-4016,7060,-13704,Smooth Road,Normal Air Quality
0.461,4572,14724,-660,Smooth Road,Normal Air Quality
0.0,11712,11380,3652,Smooth Road,Normal Air Quality
0.4176,10984,2236,-10696,Smooth Road,Normal Air Quality
